Gene,Statistic,Percentage,Cell Types
AC006059.1,2 out of 24,8.33%,Oligodendrocytes 3; Oligodendrocytes 0
AC006064.2,0 out of 24,0.00%,
AC006064.4,0 out of 24,0.00%,
AC006115.3,0 out of 24,0.00%,
AC006148.1,4 out of 24,16.67%,GABA neurons expressing GLU receptors 22; Oligodendrocytes 10; Oligodendrocytes 3; Oligodendrocytes 0
AC006160.1,0 out of 24,0.00%,
AC006299.1,0 out of 24,0.00%,
AC006369.1,0 out of 24,0.00%,
AC006504.5,0 out of 24,0.00%,
AC006581.2,0 out of 24,0.00%,
AC006978.2,1 out of 24,4.17%,Microglia 19
AC007038.1,2 out of 24,8.33%,Oligodendrocytes 20; Connective tissue cells 21
AC007091.1,0 out of 24,0.00%,
AC007159.1,0 out of 24,0.00%,
AC007193.2,1 out of 24,4.17%,Astrocytes microglia 23
AC007216.4,2 out of 24,8.33%,Oligodendrocytes 20; Oligodendrocytes 16
AC007220.1,1 out of 24,4.17%,Astrocytes microglia 23
AC007262.2,3 out of 24,12.50%,GABA neurons expressing GLU receptors 22; Oligodendrocytes 20; Microglia 19
AC007285.1,0 out of 24,0.00%,
AC007319.1,0 out of 24,0.00%,
AC007364.1,1 out of 24,4.17%,Oligodendrocytes 2
AC007376.2,0 out of 24,0.00%,
AC007388.1,0 out of 24,0.00%,
AC007402.1,0 out of 24,0.00%,
AC007495.1,0 out of 24,0.00%,
AC007529.2,0 out of 24,0.00%,
AC007563.2,2 out of 24,8.33%,GABA neurons expressing GLU receptors 22; Oligodendrocyte progenitor cells 12
AC007566.1,0 out of 24,0.00%,
AC007614.1,0 out of 24,0.00%,
AC007656.1,0 out of 24,0.00%,
AC007785.1,0 out of 24,0.00%,
AC007938.3,0 out of 24,0.00%,
AC008014.1,2 out of 24,8.33%,Astrocytes 5; Oligodendrocyte progenitor cells 12
AC008050.1,0 out of 24,0.00%,
AC008056.1,0 out of 24,0.00%,
AC008074.1,0 out of 24,0.00%,
AC008105.3,2 out of 24,8.33%,Astrocytes microglia 23; GABA like neurons 14
AC008124.1,0 out of 24,0.00%,
AC008127.1,0 out of 24,0.00%,
AC008415.1,0 out of 24,0.00%,
AC008438.1,0 out of 24,0.00%,
AC008537.1,1 out of 24,4.17%,GABA neurons expressing GLU receptors 22
AC008591.1,0 out of 24,0.00%,
AC008629.1,0 out of 24,0.00%,
AC008691.1,0 out of 24,0.00%,
AC008731.1,0 out of 24,0.00%,
AC008735.2,0 out of 24,0.00%,
AC008892.1,0 out of 24,0.00%,
AC008957.1,0 out of 24,0.00%,
AC008957.2,0 out of 24,0.00%,
AC009060.1,0 out of 24,0.00%,
AC009061.2,1 out of 24,4.17%,Oligodendrocytes 20
AC009063.2,3 out of 24,12.50%,Oligodendrocytes 20; Oligodendrocytes 10; Oligodendrocytes 16
AC009093.2,1 out of 24,4.17%,Oligodendrocytes 20
AC009126.1,0 out of 24,0.00%,
AC009154.1,0 out of 24,0.00%,
AC009163.1,0 out of 24,0.00%,
AC009264.1,1 out of 24,4.17%,GABA neurons expressing GLU receptors 22
AC009403.1,1 out of 24,4.17%,Connective tissue cells 21
AC009435.1,0 out of 24,0.00%,
AC009554.1,0 out of 24,0.00%,
AC009690.1,2 out of 24,8.33%,GABA like neurons 14; Microglia 19
AC009690.2,1 out of 24,4.17%,Astrocytes microglia 23
AC009948.1,0 out of 24,0.00%,
AC009950.1,0 out of 24,0.00%,
AC009961.1,0 out of 24,0.00%,
AC009975.1,0 out of 24,0.00%,
AC010099.4,0 out of 24,0.00%,
AC010127.1,1 out of 24,4.17%,Oligodendrocyte progenitor cells 7
AC010168.1,0 out of 24,0.00%,
AC010260.1,0 out of 24,0.00%,
AC010542.3,0 out of 24,0.00%,
AC010609.1,0 out of 24,0.00%,
AC010615.4,0 out of 24,0.00%,
AC010616.2,0 out of 24,0.00%,
AC010618.3,0 out of 24,0.00%,
AC010884.1,0 out of 24,0.00%,
AC010890.1,0 out of 24,0.00%,
AC010894.3,2 out of 24,8.33%,Endothelial cells 9; Oligodendrocyte progenitor cells 12
AC011043.1,0 out of 24,0.00%,
AC011092.2,0 out of 24,0.00%,
AC011247.1,0 out of 24,0.00%,
AC011287.1,0 out of 24,0.00%,
AC011330.3,0 out of 24,0.00%,
AC011447.3,0 out of 24,0.00%,
AC011474.2,0 out of 24,0.00%,
AC011476.3,0 out of 24,0.00%,
AC011477.4,1 out of 24,4.17%,Astrocytes microglia 23
AC011603.2,0 out of 24,0.00%,
AC011933.4,1 out of 24,4.17%,Astrocytes microglia 23
AC011997.1,2 out of 24,8.33%,Astrocytes microglia 23; Oligodendrocytes 20
AC012085.2,1 out of 24,4.17%,Astrocytes microglia 23
AC012150.1,0 out of 24,0.00%,
AC012358.3,0 out of 24,0.00%,
AC012368.1,0 out of 24,0.00%,
AC012404.1,0 out of 24,0.00%,
AC012409.2,1 out of 24,4.17%,Endothelial cells 9
AC012593.1,4 out of 24,16.67%,Astrocytes 4; Oligodendrocytes 3; Astrocytes 15; Oligodendrocytes 0
AC012636.1,0 out of 24,0.00%,
AC013394.1,0 out of 24,0.00%,
AC013546.1,0 out of 24,0.00%,
AC013643.2,0 out of 24,0.00%,
AC013652.1,1 out of 24,4.17%,GABA like neurons 14
AC015712.2,0 out of 24,0.00%,
AC015712.4,0 out of 24,0.00%,
AC015813.2,0 out of 24,0.00%,
AC015908.2,0 out of 24,0.00%,
AC015923.1,2 out of 24,8.33%,Astrocytes microglia 23; Oligodendrocyte progenitor cells 7
AC016205.1,0 out of 24,0.00%,
AC016597.1,2 out of 24,8.33%,Oligodendrocytes 20; Oligodendrocytes 0
AC016705.2,1 out of 24,4.17%,Oligodendrocytes 16
AC016717.2,0 out of 24,0.00%,
AC016723.1,0 out of 24,0.00%,
AC016831.7,9 out of 24,37.50%,Astrocytes microglia 23; Astrocytes 8; Astrocytes 4; Oligodendrocytes 3; Oligodendrocytes 2; T cells 18; Endothelial cells 9; DA neurons 6; Microglia 1
AC016907.2,0 out of 24,0.00%,
AC017101.1,0 out of 24,0.00%,
AC018467.1,0 out of 24,0.00%,
AC018647.1,0 out of 24,0.00%,
AC018682.1,0 out of 24,0.00%,
AC018797.2,1 out of 24,4.17%,Oligodendrocytes 20
AC018816.1,0 out of 24,0.00%,
AC019068.1,0 out of 24,0.00%,
AC019118.2,0 out of 24,0.00%,
AC019197.1,0 out of 24,0.00%,
AC019205.1,0 out of 24,0.00%,
AC020559.1,0 out of 24,0.00%,
AC020611.2,0 out of 24,0.00%,
AC020928.1,1 out of 24,4.17%,GABA neurons expressing GLU receptors 22
AC021231.1,0 out of 24,0.00%,
AC021439.1,0 out of 24,0.00%,
AC021739.2,0 out of 24,0.00%,
AC021752.1,0 out of 24,0.00%,
AC022075.1,0 out of 24,0.00%,
AC022098.1,0 out of 24,0.00%,
AC022414.1,0 out of 24,0.00%,
AC022509.2,0 out of 24,0.00%,
AC022523.1,0 out of 24,0.00%,
AC022639.1,0 out of 24,0.00%,
AC022893.1,0 out of 24,0.00%,
AC023051.1,0 out of 24,0.00%,
AC023389.1,0 out of 24,0.00%,
AC023421.2,1 out of 24,4.17%,Astrocytes 15
AC023590.1,1 out of 24,4.17%,Oligodendrocytes 20
AC024084.1,0 out of 24,0.00%,
AC024145.1,0 out of 24,0.00%,
AC024230.1,0 out of 24,0.00%,
AC024257.1,0 out of 24,0.00%,
AC024901.1,0 out of 24,0.00%,
AC025159.1,1 out of 24,4.17%,Astrocytes 5
AC025164.1,1 out of 24,4.17%,Astrocytes microglia 23
AC025283.3,2 out of 24,8.33%,Astrocytes microglia 23; Oligodendrocytes 20
AC025569.1,0 out of 24,0.00%,
AC025682.1,1 out of 24,4.17%,Oligodendrocytes 20
AC025809.1,0 out of 24,0.00%,
AC025810.1,1 out of 24,4.17%,Oligodendrocytes 2
AC025887.2,0 out of 24,0.00%,
AC026202.2,0 out of 24,0.00%,
AC026316.5,5 out of 24,20.83%,Astrocytes 8; GLU like neurons 17; GABA neurons expressing GLU receptors 22; DA like neurons 11; Oligodendrocytes 3
AC026458.2,0 out of 24,0.00%,
AC027018.1,0 out of 24,0.00%,
AC027031.2,1 out of 24,4.17%,Astrocytes microglia 23
AC027097.2,2 out of 24,8.33%,Connective tissue cells 21; Microglia 19
AC027117.2,2 out of 24,8.33%,Oligodendrocytes 20; Oligodendrocytes 3
AC027288.3,0 out of 24,0.00%,
AC027644.4,2 out of 24,8.33%,GLU like neurons 17; Oligodendrocytes 2
AC027808.1,1 out of 24,4.17%,Oligodendrocytes 20
AC034195.1,0 out of 24,0.00%,
AC036108.1,0 out of 24,0.00%,
AC036214.1,0 out of 24,0.00%,
AC037459.2,0 out of 24,0.00%,
AC040934.1,0 out of 24,0.00%,
AC044781.1,0 out of 24,0.00%,
AC046195.1,0 out of 24,0.00%,
AC048341.1,0 out of 24,0.00%,
AC048382.5,0 out of 24,0.00%,
AC053527.1,2 out of 24,8.33%,Oligodendrocytes 3; GABA like neurons 14
AC058791.1,0 out of 24,0.00%,
AC058822.1,1 out of 24,4.17%,GABA neurons expressing GLU receptors 22
AC062021.1,0 out of 24,0.00%,
AC063944.1,0 out of 24,0.00%,
AC064807.1,0 out of 24,0.00%,
AC066613.2,1 out of 24,4.17%,Oligodendrocytes 20
AC068051.1,0 out of 24,0.00%,
AC068205.1,0 out of 24,0.00%,
AC068533.4,0 out of 24,0.00%,
AC068643.1,0 out of 24,0.00%,
AC068675.1,0 out of 24,0.00%,
AC068724.3,0 out of 24,0.00%,
AC068875.1,1 out of 24,4.17%,GABA neurons expressing GLU receptors 22
AC068888.1,0 out of 24,0.00%,
AC069120.1,0 out of 24,0.00%,
AC069228.1,1 out of 24,4.17%,Oligodendrocytes 20
AC069368.1,1 out of 24,4.17%,Astrocytes 15
AC069437.1,0 out of 24,0.00%,
AC073050.1,2 out of 24,8.33%,DA like neurons 11; Oligodendrocyte progenitor cells 7
AC073082.1,0 out of 24,0.00%,
AC073332.1,0 out of 24,0.00%,
AC073342.1,0 out of 24,0.00%,
AC073343.2,0 out of 24,0.00%,
AC073389.2,0 out of 24,0.00%,
AC073529.1,0 out of 24,0.00%,
AC073569.2,0 out of 24,0.00%,
AC073571.1,0 out of 24,0.00%,
AC073610.3,0 out of 24,0.00%,
AC073941.1,1 out of 24,4.17%,Astrocytes 8
AC074032.1,0 out of 24,0.00%,
AC074117.1,1 out of 24,4.17%,GABA neurons expressing GLU receptors 22
AC074286.1,0 out of 24,0.00%,
AC074327.1,1 out of 24,4.17%,Microglia 19
AC078785.1,0 out of 24,0.00%,
AC078845.1,0 out of 24,0.00%,
AC078881.1,1 out of 24,4.17%,Oligodendrocytes 10
AC078923.1,0 out of 24,0.00%,
AC079015.1,0 out of 24,0.00%,
AC079296.1,0 out of 24,0.00%,
AC079298.3,0 out of 24,0.00%,
AC079385.1,0 out of 24,0.00%,
AC079447.1,1 out of 24,4.17%,Oligodendrocytes 20
AC079594.2,0 out of 24,0.00%,
AC079760.1,0 out of 24,0.00%,
AC083798.2,1 out of 24,4.17%,Connective tissue cells 21
AC084032.1,1 out of 24,4.17%,Oligodendrocytes 20
AC084337.2,1 out of 24,4.17%,Oligodendrocytes 20
AC087280.2,0 out of 24,0.00%,
AC087286.2,0 out of 24,0.00%,
AC087386.1,0 out of 24,0.00%,
AC087457.1,0 out of 24,0.00%,
AC087463.1,0 out of 24,0.00%,
AC087463.4,0 out of 24,0.00%,
AC087477.2,1 out of 24,4.17%,Connective tissue cells 21
AC087482.1,1 out of 24,4.17%,Astrocytes 4
AC087500.1,0 out of 24,0.00%,
AC087564.1,1 out of 24,4.17%,Oligodendrocytes 20
AC087741.1,0 out of 24,0.00%,
AC090115.1,0 out of 24,0.00%,
AC090138.1,0 out of 24,0.00%,
AC090204.1,0 out of 24,0.00%,
AC090502.1,3 out of 24,12.50%,Oligodendrocytes 3; Oligodendrocytes 2; Oligodendrocytes 0
AC090517.4,0 out of 24,0.00%,
AC090518.1,0 out of 24,0.00%,
AC090559.1,0 out of 24,0.00%,
AC090568.2,0 out of 24,0.00%,
AC090579.1,0 out of 24,0.00%,
AC090630.1,0 out of 24,0.00%,
AC090709.1,0 out of 24,0.00%,
AC090825.1,1 out of 24,4.17%,Astrocytes 15
AC090844.2,1 out of 24,4.17%,Astrocytes microglia 23
AC090907.2,0 out of 24,0.00%,
AC091078.1,1 out of 24,4.17%,Astrocytes 8
AC091138.1,0 out of 24,0.00%,
AC091167.6,0 out of 24,0.00%,
AC091551.1,1 out of 24,4.17%,Astrocytes microglia 23
AC091826.2,2 out of 24,8.33%,Astrocytes 4; Astrocytes 5
AC091885.2,1 out of 24,4.17%,Oligodendrocyte progenitor cells 7
AC091946.1,0 out of 24,0.00%,
AC091948.1,2 out of 24,8.33%,GABA neurons expressing GLU receptors 22; Astrocytes 15
AC092114.1,0 out of 24,0.00%,
AC092131.1,3 out of 24,12.50%,Astrocytes microglia 23; Astrocytes 5; Astrocytes 15
AC092142.1,0 out of 24,0.00%,
AC092155.1,0 out of 24,0.00%,
AC092329.3,0 out of 24,0.00%,
AC092378.1,0 out of 24,0.00%,
AC092535.3,0 out of 24,0.00%,
AC092683.1,4 out of 24,16.67%,GABA neurons expressing GLU receptors 22; DA like neurons 11; Oligodendrocytes 3; GABA like neurons 14
AC092691.1,3 out of 24,12.50%,Astrocytes 8; Oligodendrocytes 16; Astrocytes microglia 23
AC092802.1,0 out of 24,0.00%,
AC092835.1,0 out of 24,0.00%,
AC092902.3,0 out of 24,0.00%,
AC092910.3,0 out of 24,0.00%,
AC092957.1,1 out of 24,4.17%,Endothelial cells 9
AC092958.1,0 out of 24,0.00%,
AC093151.3,0 out of 24,0.00%,
AC093152.1,0 out of 24,0.00%,
AC093157.1,0 out of 24,0.00%,
AC093503.2,0 out of 24,0.00%,
AC093523.1,0 out of 24,0.00%,
AC093535.1,0 out of 24,0.00%,
AC093772.1,0 out of 24,0.00%,
AC093879.1,1 out of 24,4.17%,Astrocytes microglia 23
AC096564.1,0 out of 24,0.00%,
AC096677.1,0 out of 24,0.00%,
AC096711.2,0 out of 24,0.00%,
AC097103.2,2 out of 24,8.33%,Astrocytes 8; Oligodendrocytes 20
AC097376.2,2 out of 24,8.33%,Oligodendrocytes 10; T cells 18
AC097478.1,0 out of 24,0.00%,
AC097515.1,0 out of 24,0.00%,
AC097634.3,0 out of 24,0.00%,
AC097658.2,0 out of 24,0.00%,
AC097662.1,1 out of 24,4.17%,Astrocytes microglia 23
AC098617.1,0 out of 24,0.00%,
AC098829.1,0 out of 24,0.00%,
AC098850.3,1 out of 24,4.17%,Oligodendrocyte progenitor cells 12
AC099669.1,0 out of 24,0.00%,
AC099792.1,2 out of 24,8.33%,Astrocytes 4; Astrocytes 5
AC100786.1,0 out of 24,0.00%,
AC100793.2,0 out of 24,0.00%,
AC100801.1,1 out of 24,4.17%,Oligodendrocytes 20
AC103853.1,0 out of 24,0.00%,
AC103876.1,0 out of 24,0.00%,
AC103923.1,1 out of 24,4.17%,Astrocytes microglia 23
AC104117.3,0 out of 24,0.00%,
AC104123.1,0 out of 24,0.00%,
AC104151.1,0 out of 24,0.00%,
AC104389.4,1 out of 24,4.17%,Astrocytes microglia 23
AC104461.1,0 out of 24,0.00%,
AC104574.2,0 out of 24,0.00%,
AC104596.1,5 out of 24,20.83%,Astrocytes 8; Astrocytes 5; Astrocytes 4; Oligodendrocytes 3; Oligodendrocytes 2
AC104662.2,1 out of 24,4.17%,Astrocytes microglia 23
AC104806.2,0 out of 24,0.00%,
AC104827.1,1 out of 24,4.17%,Astrocytes microglia 23
AC104964.1,0 out of 24,0.00%,
AC104986.2,0 out of 24,0.00%,
AC105052.1,0 out of 24,0.00%,
AC105052.3,2 out of 24,8.33%,Astrocytes microglia 23; Oligodendrocytes 20
AC105285.1,0 out of 24,0.00%,
AC105383.1,2 out of 24,8.33%,Oligodendrocytes 3; Oligodendrocytes 0
AC105402.3,3 out of 24,12.50%,DA like neurons 11; GABA neurons expressing GABA receptors 13; Oligodendrocytes 10
AC105942.1,0 out of 24,0.00%,
AC106729.1,0 out of 24,0.00%,
AC106739.1,1 out of 24,4.17%,Astrocytes microglia 23
AC106791.1,1 out of 24,4.17%,Oligodendrocytes 0
AC106795.3,0 out of 24,0.00%,
AC106869.1,2 out of 24,8.33%,Oligodendrocytes 3; Oligodendrocytes 2
AC107067.1,0 out of 24,0.00%,
AC107204.1,0 out of 24,0.00%,
AC107214.1,1 out of 24,4.17%,Astrocytes microglia 23
AC107375.1,1 out of 24,4.17%,Astrocytes microglia 23
AC107884.1,0 out of 24,0.00%,
AC108047.1,1 out of 24,4.17%,Oligodendrocytes 20
AC108062.1,2 out of 24,8.33%,Oligodendrocytes 20; Astrocytes 5
AC108449.1,0 out of 24,0.00%,
AC108866.1,2 out of 24,8.33%,Astrocytes 4; Astrocytes 5
AC109466.1,0 out of 24,0.00%,
AC109779.1,0 out of 24,0.00%,
AC109927.1,1 out of 24,4.17%,Oligodendrocytes 20
AC110023.1,0 out of 24,0.00%,
AC110285.1,2 out of 24,8.33%,Oligodendrocytes 20; Oligodendrocyte progenitor cells 12
AC110597.3,0 out of 24,0.00%,
AC111006.1,0 out of 24,0.00%,
AC112722.1,0 out of 24,0.00%,
AC113383.1,0 out of 24,0.00%,
AC113414.1,1 out of 24,4.17%,Oligodendrocytes 20
AC114485.1,1 out of 24,4.17%,Oligodendrocytes 16
AC114689.3,0 out of 24,0.00%,
AC114763.1,0 out of 24,0.00%,
AC115622.1,0 out of 24,0.00%,
AC116366.3,1 out of 24,4.17%,Oligodendrocytes 3
AC116565.2,0 out of 24,0.00%,
AC117383.1,0 out of 24,0.00%,
AC118549.1,0 out of 24,0.00%,
AC119396.1,0 out of 24,0.00%,
AC119868.2,0 out of 24,0.00%,
AC120193.1,1 out of 24,4.17%,GABA neurons expressing GLU receptors 22
AC123768.3,1 out of 24,4.17%,Astrocytes microglia 23
AC124254.1,1 out of 24,4.17%,Oligodendrocyte progenitor cells 12
AC124312.1,3 out of 24,12.50%,GABA neurons expressing GABA receptors 13; DA neurons 6; Oligodendrocytes 10
AC124319.2,0 out of 24,0.00%,
AC124854.1,3 out of 24,12.50%,Astrocytes 8; Astrocytes 4; Astrocytes 5
AC125613.1,0 out of 24,0.00%,
AC127024.2,0 out of 24,0.00%,
AC127526.1,0 out of 24,0.00%,
AC130324.2,0 out of 24,0.00%,
AC135050.3,0 out of 24,0.00%,
AC138123.1,0 out of 24,0.00%,
AC138150.1,1 out of 24,4.17%,Astrocytes microglia 23
AC138305.1,0 out of 24,0.00%,
AC138627.1,1 out of 24,4.17%,Astrocytes 5
AC139491.7,0 out of 24,0.00%,
AC139720.1,0 out of 24,0.00%,
AC139887.2,3 out of 24,12.50%,Microglia 1; Oligodendrocytes 2; GABA like neurons 14
AC140912.1,0 out of 24,0.00%,
AC145124.1,0 out of 24,0.00%,
AC145422.1,0 out of 24,0.00%,
AC231533.1,0 out of 24,0.00%,
AC233296.1,4 out of 24,16.67%,GABA neurons expressing GLU receptors 22; Oligodendrocytes 3; Oligodendrocytes 2; Oligodendrocyte progenitor cells 12
AC234582.1,0 out of 24,0.00%,
AC239800.3,0 out of 24,0.00%,
AC239809.3,3 out of 24,12.50%,Oligodendrocytes 20; Oligodendrocytes 3; Oligodendrocytes 2
AC242426.2,1 out of 24,4.17%,GABA neurons expressing GLU receptors 22
AC243829.1,0 out of 24,0.00%,
AC243829.2,1 out of 24,4.17%,T cells 18
AC244021.1,1 out of 24,4.17%,GABA like neurons 14
AC244131.2,1 out of 24,4.17%,GABA neurons expressing GLU receptors 22
AC244453.3,0 out of 24,0.00%,
AC245060.5,4 out of 24,16.67%,Astrocytes microglia 23; Oligodendrocytes 3; Oligodendrocytes 2; GABA like neurons 14
AC245123.1,1 out of 24,4.17%,GABA neurons expressing GLU receptors 22
AC245187.2,0 out of 24,0.00%,
AC245297.3,2 out of 24,8.33%,Astrocytes 4; T cells 18
AC246817.2,0 out of 24,0.00%,
ACAA1,0 out of 24,0.00%,
ACACA,0 out of 24,0.00%,
ACACB,3 out of 24,12.50%,Astrocytes 8; Astrocytes 4; Astrocytes 5
ACAD10,1 out of 24,4.17%,GABA neurons expressing GLU receptors 22
ACAD8,1 out of 24,4.17%,Astrocytes microglia 23
ACAD9,0 out of 24,0.00%,
ACADL,0 out of 24,0.00%,
ACADM,0 out of 24,0.00%,
ACADSB,1 out of 24,4.17%,Connective tissue cells 21
ACADVL,1 out of 24,4.17%,Astrocytes 8
ACAP1,0 out of 24,0.00%,
ACAP2,0 out of 24,0.00%,
ACAP3,1 out of 24,4.17%,DA like neurons 11
ACAT1,0 out of 24,0.00%,
ACAT2,0 out of 24,0.00%,
ACBD3,1 out of 24,4.17%,GABA neurons expressing GLU receptors 22
ACBD4,0 out of 24,0.00%,
ACBD5,0 out of 24,0.00%,
ACBD6,1 out of 24,4.17%,Oligodendrocytes 10
ACCS,1 out of 24,4.17%,Astrocytes microglia 23
ACER2,0 out of 24,0.00%,
ACER3,3 out of 24,12.50%,Oligodendrocytes 16; Oligodendrocytes 3; Oligodendrocyte progenitor cells 12
ACHE,2 out of 24,8.33%,DA like neurons 11; GABA like neurons 14
ACIN1,0 out of 24,0.00%,
ACKR3,1 out of 24,4.17%,Astrocytes microglia 23
ACLY,1 out of 24,4.17%,Connective tissue cells 21
ACO1,1 out of 24,4.17%,Connective tissue cells 21
ACO2,0 out of 24,0.00%,
ACOT11,5 out of 24,20.83%,Astrocytes 8; Astrocytes 5; Astrocytes 4; GABA like neurons 14; Astrocytes 15
