Gene,Statistic,Percentage,Cell Types
ABCA2,7 out of 24,29.17%,T_cells 18; Astrocytes 8; Oligodendrocyte_progenitor_cells 12; Oligodendrocyte_progenitor_cells 7; Astrocytes 15; DA_like_neurons 11; Endothelial_cells 9
ABCA3,5 out of 24,20.83%,GABA_like_neurons 14; GLU_like_neurons 17; Astrocytes 15; DA_like_neurons 11; Connective_tissue_cells 21
ABCA4,0 out of 24,0.00%,
ABCA5,1 out of 24,4.17%,DA_neurons 6
ABCA6,4 out of 24,16.67%,Oligodendrocytes 16; GABA_like_neurons 14; Oligodendrocytes 2; Connective_tissue_cells 21
ABCA7,3 out of 24,12.50%,Astrocytes_microglia 23; GABA_like_neurons 14; DA_like_neurons 11
ABCA8,3 out of 24,12.50%,Oligodendrocytes 10; Oligodendrocytes 16; Connective_tissue_cells 21
ABCA9,4 out of 24,16.67%,DA_like_neurons 11; GABA_neurons_expressing_GLU_receptors 22; GLU_like_neurons 17; Connective_tissue_cells 21
ABCA9-AS1,0 out of 24,0.00%,
ABCB1,1 out of 24,4.17%,Endothelial_cells 9
ABCB10,3 out of 24,12.50%,Oligodendrocytes 20; Astrocytes 4; Connective_tissue_cells 21
ABCB7,5 out of 24,20.83%,Astrocytes 5; Oligodendrocytes 16; GLU_like_neurons 17; Oligodendrocyte_progenitor_cells 7; Astrocytes 15
ABCB8,4 out of 24,16.67%,Oligodendrocytes 20; Oligodendrocytes 2; GABA_neurons_expressing_GLU_receptors 22; Astrocytes 15
ABCB9,2 out of 24,8.33%,Astrocytes 5; GABA_like_neurons 14
ABCC1,6 out of 24,25.00%,T_cells 18; GABA_like_neurons 14; Oligodendrocytes 10; Oligodendrocytes 16; GLU_like_neurons 17; DA_like_neurons 11
ABCC10,0 out of 24,0.00%,
ABCC3,0 out of 24,0.00%,
ABCC4,4 out of 24,16.67%,Astrocytes_microglia 23; Microglia 1; Oligodendrocyte_progenitor_cells 7; Microglia 19
ABCC5,5 out of 24,20.83%,Oligodendrocyte_progenitor_cells 12; Oligodendrocytes 3; Oligodendrocytes 2; Microglia 19; Microglia 1
ABCC8,0 out of 24,0.00%,
ABCC9,3 out of 24,12.50%,Astrocytes 8; Astrocytes 5; Endothelial_cells 9
ABCD2,2 out of 24,8.33%,Astrocytes 8; Astrocytes 15
ABCD3,3 out of 24,12.50%,Astrocytes 4; GABA_like_neurons 14; Microglia 19
ABCD4,3 out of 24,12.50%,Oligodendrocytes 20; Astrocytes 4; Oligodendrocytes 3
ABCE1,5 out of 24,20.83%,GABA_like_neurons 14; Microglia 19; Oligodendrocyte_progenitor_cells 7; Oligodendrocytes 2; Oligodendrocytes 0
ABCF1,0 out of 24,0.00%,
ABCF3,0 out of 24,0.00%,
ABCG1,2 out of 24,8.33%,Oligodendrocytes 20; Oligodendrocytes 3
ABCG2,1 out of 24,4.17%,Endothelial_cells 9
ABHD10,1 out of 24,4.17%,Astrocytes_microglia 23
ABHD12,1 out of 24,4.17%,Connective_tissue_cells 21
ABHD13,0 out of 24,0.00%,
ABHD15,1 out of 24,4.17%,Astrocytes_microglia 23
ABHD15-AS1,2 out of 24,8.33%,Oligodendrocytes 20; Microglia 19
ABHD17A,2 out of 24,8.33%,T_cells 18; Endothelial_cells 9
ABHD17B,3 out of 24,12.50%,Oligodendrocytes 3; GABA_like_neurons 14; Oligodendrocyte_progenitor_cells 12
ABHD17C,1 out of 24,4.17%,Astrocytes_microglia 23
ABHD18,3 out of 24,12.50%,Oligodendrocytes 20; Oligodendrocytes 10; Astrocytes 15
ABHD2,5 out of 24,20.83%,Astrocytes_microglia 23; GABA_neurons_expressing_GABA_receptors 13; Astrocytes 8; Astrocytes 4; DA_neurons 6
ABHD3,9 out of 24,37.50%,T_cells 18; GABA_like_neurons 14; Astrocytes 8; Astrocytes 5; Astrocytes 4; GABA_neurons_expressing_GLU_receptors 22; Oligodendrocyte_progenitor_cells 7; Microglia 1; Endothelial_cells 9
ABHD5,2 out of 24,8.33%,GABA_neurons_expressing_GLU_receptors 22; Oligodendrocytes 2
ABHD6,0 out of 24,0.00%,
ABHD8,1 out of 24,4.17%,Astrocytes_microglia 23
ABI1,5 out of 24,20.83%,GABA_like_neurons 14; Oligodendrocytes 10; Oligodendrocyte_progenitor_cells 12; Oligodendrocyte_progenitor_cells 7; Astrocytes 15
ABI2,3 out of 24,12.50%,Astrocytes_microglia 23; GABA_neurons_expressing_GABA_receptors 13; Oligodendrocyte_progenitor_cells 12
ABI3,2 out of 24,8.33%,Astrocytes_microglia 23; Microglia 19
ABI3BP,5 out of 24,20.83%,Astrocytes_microglia 23; Astrocytes 8; Astrocytes 5; Astrocytes 15; Connective_tissue_cells 21
ABL1,5 out of 24,20.83%,GABA_like_neurons 14; Oligodendrocytes 10; GABA_neurons_expressing_GLU_receptors 22; DA_like_neurons 11; Endothelial_cells 9
ABL2,2 out of 24,8.33%,DA_like_neurons 11; Oligodendrocyte_progenitor_cells 12
ABLIM1,4 out of 24,16.67%,Astrocytes 8; Oligodendrocyte_progenitor_cells 12; Endothelial_cells 9; GLU_like_neurons 17
ABLIM2,4 out of 24,16.67%,Oligodendrocytes 20; GABA_like_neurons 14; GLU_like_neurons 17; Oligodendrocytes 0
ABLIM3,4 out of 24,16.67%,GABA_neurons_expressing_GLU_receptors 22; DA_like_neurons 11; GABA_like_neurons 14; GLU_like_neurons 17
ABO,0 out of 24,0.00%,
ABR,5 out of 24,20.83%,T_cells 18; GABA_like_neurons 14; Astrocytes 8; Astrocytes 4; DA_like_neurons 11
ABRAXAS2,1 out of 24,4.17%,Astrocytes_microglia 23
ABTB1,0 out of 24,0.00%,
ABTB2,6 out of 24,25.00%,Oligodendrocytes 10; Oligodendrocyte_progenitor_cells 12; Oligodendrocytes 3; GABA_neurons_expressing_GLU_receptors 22; Oligodendrocytes 2; Oligodendrocytes 0
AC001226.2,3 out of 24,12.50%,Oligodendrocytes 20; Microglia 1; Oligodendrocytes 16
AC002070.1,0 out of 24,0.00%,
AC002074.1,0 out of 24,0.00%,
AC002429.2,3 out of 24,12.50%,Astrocytes 4; Astrocytes 5; Astrocytes 15
AC003002.2,0 out of 24,0.00%,
AC003991.1,2 out of 24,8.33%,DA_like_neurons 11; GABA_like_neurons 14
AC004076.1,3 out of 24,12.50%,Astrocytes_microglia 23; Astrocytes 4; Oligodendrocyte_progenitor_cells 7
AC004158.1,2 out of 24,8.33%,Oligodendrocytes 10; Oligodendrocytes 16
AC004253.1,0 out of 24,0.00%,
AC004540.1,1 out of 24,4.17%,Astrocytes 8
AC004540.2,0 out of 24,0.00%,
AC004594.1,1 out of 24,4.17%,DA_like_neurons 11
AC004687.1,0 out of 24,0.00%,
AC004690.2,5 out of 24,20.83%,Oligodendrocytes 20; Oligodendrocytes 10; Oligodendrocytes 3; Oligodendrocytes 2; Oligodendrocytes 0
AC004784.1,0 out of 24,0.00%,
AC004805.1,1 out of 24,4.17%,GLU_like_neurons 17
AC004852.2,0 out of 24,0.00%,
AC004889.1,1 out of 24,4.17%,Connective_tissue_cells 21
AC004918.1,4 out of 24,16.67%,Oligodendrocytes 20; Microglia 1; Oligodendrocytes 2; Microglia 19
AC004943.2,0 out of 24,0.00%,
AC005037.1,1 out of 24,4.17%,Astrocytes_microglia 23
AC005154.6,3 out of 24,12.50%,Oligodendrocytes 20; Astrocytes 4; Oligodendrocyte_progenitor_cells 12
AC005162.3,1 out of 24,4.17%,Astrocytes 8
AC005165.1,2 out of 24,8.33%,Astrocytes_microglia 23; Microglia 19
AC005225.2,2 out of 24,8.33%,Astrocytes_microglia 23; GABA_like_neurons 14
AC005258.1,2 out of 24,8.33%,Astrocytes_microglia 23; Microglia 1
AC005261.1,3 out of 24,12.50%,Oligodendrocyte_progenitor_cells 7; Oligodendrocytes 2; Connective_tissue_cells 21
AC005332.5,1 out of 24,4.17%,Astrocytes_microglia 23
AC005480.1,0 out of 24,0.00%,
AC005537.1,1 out of 24,4.17%,GLU_like_neurons 17
AC005670.2,1 out of 24,4.17%,Astrocytes_microglia 23
AC005697.1,0 out of 24,0.00%,
AC005726.1,1 out of 24,4.17%,GABA_like_neurons 14
AC005833.2,0 out of 24,0.00%,
AC006030.1,1 out of 24,4.17%,Microglia 19
AC006058.1,0 out of 24,0.00%,
AC006059.1,5 out of 24,20.83%,Oligodendrocytes 10; Oligodendrocytes 3; GLU_like_neurons 17; Oligodendrocytes 0; Connective_tissue_cells 21
AC006064.2,1 out of 24,4.17%,Astrocytes_microglia 23
AC006064.4,0 out of 24,0.00%,
AC006115.3,0 out of 24,0.00%,
AC006148.1,7 out of 24,29.17%,Oligodendrocytes 10; Oligodendrocyte_progenitor_cells 12; Oligodendrocytes 16; GABA_neurons_expressing_GLU_receptors 22; Oligodendrocytes 2; Oligodendrocytes 3; Oligodendrocytes 0
AC006160.1,0 out of 24,0.00%,
AC006299.1,0 out of 24,0.00%,
AC006369.1,1 out of 24,4.17%,T_cells 18
AC006504.5,2 out of 24,8.33%,Astrocytes_microglia 23; DA_like_neurons 11
AC006581.2,1 out of 24,4.17%,GABA_like_neurons 14
AC006978.2,4 out of 24,16.67%,T_cells 18; Microglia 1; Oligodendrocyte_progenitor_cells 7; Microglia 19
AC007038.1,2 out of 24,8.33%,Oligodendrocytes 20; Connective_tissue_cells 21
AC007091.1,2 out of 24,8.33%,DA_like_neurons 11; GLU_like_neurons 17
AC007159.1,0 out of 24,0.00%,
AC007193.2,3 out of 24,12.50%,Astrocytes_microglia 23; Astrocytes 4; Astrocytes 5
AC007216.4,3 out of 24,12.50%,Oligodendrocytes 20; Astrocytes_microglia 23; Oligodendrocytes 16
AC007220.1,1 out of 24,4.17%,Astrocytes_microglia 23
AC007262.2,6 out of 24,25.00%,Oligodendrocytes 20; Oligodendrocytes 3; GABA_neurons_expressing_GLU_receptors 22; Astrocytes 15; Microglia 19; Microglia 1
AC007285.1,0 out of 24,0.00%,
AC007319.1,0 out of 24,0.00%,
AC007364.1,2 out of 24,8.33%,Oligodendrocytes 16; Oligodendrocytes 2
AC007376.2,0 out of 24,0.00%,
AC007388.1,2 out of 24,8.33%,DA_like_neurons 11; GABA_neurons_expressing_GLU_receptors 22
AC007402.1,0 out of 24,0.00%,
AC007495.1,0 out of 24,0.00%,
AC007529.2,0 out of 24,0.00%,
AC007563.2,3 out of 24,12.50%,GABA_neurons_expressing_GLU_receptors 22; Oligodendrocyte_progenitor_cells 12; Oligodendrocyte_progenitor_cells 7
AC007566.1,4 out of 24,16.67%,Oligodendrocytes 20; Microglia 1; Oligodendrocytes 2; Oligodendrocytes 16
AC007614.1,0 out of 24,0.00%,
AC007656.1,0 out of 24,0.00%,
AC007785.1,1 out of 24,4.17%,Oligodendrocytes 3
AC007938.3,0 out of 24,0.00%,
AC008014.1,3 out of 24,12.50%,Astrocytes 8; Astrocytes 5; Oligodendrocyte_progenitor_cells 12
AC008050.1,1 out of 24,4.17%,GABA_like_neurons 14
AC008056.1,1 out of 24,4.17%,DA_like_neurons 11
AC008074.1,0 out of 24,0.00%,
AC008105.3,3 out of 24,12.50%,Astrocytes_microglia 23; GABA_like_neurons 14; Microglia 19
AC008124.1,4 out of 24,16.67%,Oligodendrocytes 20; Oligodendrocytes 16; Oligodendrocyte_progenitor_cells 7; Oligodendrocytes 0
AC008127.1,0 out of 24,0.00%,
AC008415.1,0 out of 24,0.00%,
AC008438.1,1 out of 24,4.17%,Oligodendrocytes 16
AC008537.1,2 out of 24,8.33%,GABA_neurons_expressing_GLU_receptors 22; Astrocytes 15
AC008591.1,0 out of 24,0.00%,
AC008629.1,1 out of 24,4.17%,Oligodendrocytes 20
AC008691.1,0 out of 24,0.00%,
AC008731.1,0 out of 24,0.00%,
AC008735.2,0 out of 24,0.00%,
AC008892.1,1 out of 24,4.17%,Microglia 1
AC008957.1,0 out of 24,0.00%,
AC008957.2,1 out of 24,4.17%,Astrocytes 15
AC009060.1,0 out of 24,0.00%,
AC009061.2,4 out of 24,16.67%,Astrocytes 8; Oligodendrocytes 20; Astrocytes 5; GABA_like_neurons 14
AC009063.2,3 out of 24,12.50%,Oligodendrocytes 20; Oligodendrocytes 10; Oligodendrocytes 16
AC009093.2,4 out of 24,16.67%,Oligodendrocytes 20; Oligodendrocytes 10; Oligodendrocytes 16; Microglia 19
AC009126.1,1 out of 24,4.17%,Oligodendrocytes 20
AC009154.1,0 out of 24,0.00%,
AC009163.1,0 out of 24,0.00%,
AC009264.1,1 out of 24,4.17%,GABA_neurons_expressing_GLU_receptors 22
AC009403.1,1 out of 24,4.17%,Connective_tissue_cells 21
AC009435.1,0 out of 24,0.00%,
AC009554.1,3 out of 24,12.50%,Oligodendrocytes 0; Oligodendrocytes 3; Microglia 19
AC009690.1,7 out of 24,29.17%,GABA_like_neurons 14; Astrocytes 8; Oligodendrocytes 20; Astrocytes 5; Oligodendrocyte_progenitor_cells 12; Oligodendrocytes 2; Microglia 19
AC009690.2,1 out of 24,4.17%,Astrocytes_microglia 23
AC009948.1,3 out of 24,12.50%,Astrocytes_microglia 23; Microglia 1; Connective_tissue_cells 21
AC009950.1,0 out of 24,0.00%,
AC009961.1,0 out of 24,0.00%,
AC009975.1,2 out of 24,8.33%,Astrocytes 4; Astrocytes 5
AC010099.4,0 out of 24,0.00%,
AC010127.1,3 out of 24,12.50%,GLU_like_neurons 17; Oligodendrocyte_progenitor_cells 12; Oligodendrocyte_progenitor_cells 7
AC010168.1,0 out of 24,0.00%,
AC010260.1,0 out of 24,0.00%,
AC010542.3,0 out of 24,0.00%,
AC010609.1,0 out of 24,0.00%,
AC010615.4,4 out of 24,16.67%,Oligodendrocytes 20; Astrocytes 4; Oligodendrocytes 3; GABA_like_neurons 14
AC010616.2,1 out of 24,4.17%,GABA_neurons_expressing_GABA_receptors 13
AC010618.3,1 out of 24,4.17%,Connective_tissue_cells 21
AC010884.1,0 out of 24,0.00%,
AC010890.1,0 out of 24,0.00%,
AC010894.3,9 out of 24,37.50%,T_cells 18; GABA_like_neurons 14; Oligodendrocytes 20; Oligodendrocyte_progenitor_cells 12; Oligodendrocytes 3; Oligodendrocytes 2; Oligodendrocyte_progenitor_cells 7; Oligodendrocytes 0; Endothelial_cells 9
AC011043.1,0 out of 24,0.00%,
AC011092.2,0 out of 24,0.00%,
AC011247.1,0 out of 24,0.00%,
AC011287.1,0 out of 24,0.00%,
AC011330.3,0 out of 24,0.00%,
AC011447.3,0 out of 24,0.00%,
AC011474.2,1 out of 24,4.17%,Oligodendrocyte_progenitor_cells 7
AC011476.3,0 out of 24,0.00%,
AC011477.4,1 out of 24,4.17%,Astrocytes_microglia 23
AC011603.2,0 out of 24,0.00%,
AC011933.4,1 out of 24,4.17%,Astrocytes_microglia 23
AC011997.1,3 out of 24,12.50%,Oligodendrocytes 20; Astrocytes_microglia 23; Oligodendrocytes 16
AC012085.2,1 out of 24,4.17%,Astrocytes_microglia 23
AC012150.1,0 out of 24,0.00%,
AC012358.3,1 out of 24,4.17%,Oligodendrocytes 3
AC012368.1,1 out of 24,4.17%,Microglia 1
AC012404.1,2 out of 24,8.33%,Oligodendrocyte_progenitor_cells 7; Astrocytes 15
AC012409.2,1 out of 24,4.17%,Endothelial_cells 9
AC012593.1,7 out of 24,29.17%,Oligodendrocytes 10; Oligodendrocyte_progenitor_cells 12; Astrocytes 4; Oligodendrocytes 16; Oligodendrocytes 3; Astrocytes 15; Oligodendrocytes 0
AC012636.1,0 out of 24,0.00%,
AC013394.1,2 out of 24,8.33%,Microglia 1; Oligodendrocytes 3
AC013546.1,0 out of 24,0.00%,
AC013643.2,0 out of 24,0.00%,
AC013652.1,2 out of 24,8.33%,GABA_neurons_expressing_GLU_receptors 22; GABA_like_neurons 14
AC015712.2,1 out of 24,4.17%,Astrocytes_microglia 23
AC015712.4,0 out of 24,0.00%,
AC015813.2,2 out of 24,8.33%,GABA_like_neurons 14; Oligodendrocyte_progenitor_cells 7
AC015908.2,0 out of 24,0.00%,
AC015923.1,2 out of 24,8.33%,Astrocytes_microglia 23; Oligodendrocyte_progenitor_cells 7
AC016205.1,0 out of 24,0.00%,
AC016597.1,4 out of 24,16.67%,Oligodendrocytes 20; Oligodendrocytes 10; Oligodendrocytes 3; Oligodendrocytes 0
AC016705.2,1 out of 24,4.17%,Oligodendrocytes 16
AC016717.2,0 out of 24,0.00%,
AC016723.1,0 out of 24,0.00%,
AC016831.7,11 out of 24,45.83%,Astrocytes_microglia 23; T_cells 18; GABA_like_neurons 14; Astrocytes 8; Astrocytes 4; Oligodendrocytes 3; Oligodendrocytes 2; DA_like_neurons 11; Microglia 1; Endothelial_cells 9; DA_neurons 6
AC016907.2,2 out of 24,8.33%,Astrocytes_microglia 23; Astrocytes 15
AC017101.1,0 out of 24,0.00%,
AC018467.1,1 out of 24,4.17%,GABA_neurons_expressing_GLU_receptors 22
AC018647.1,0 out of 24,0.00%,
AC018682.1,2 out of 24,8.33%,Astrocytes_microglia 23; Microglia 19
AC018797.2,3 out of 24,12.50%,Oligodendrocytes 20; Astrocytes_microglia 23; Oligodendrocytes 16
AC018816.1,0 out of 24,0.00%,
AC019068.1,1 out of 24,4.17%,Astrocytes 15
AC019118.2,0 out of 24,0.00%,
AC019197.1,1 out of 24,4.17%,Connective_tissue_cells 21
AC019205.1,1 out of 24,4.17%,GABA_neurons_expressing_GLU_receptors 22
AC020559.1,1 out of 24,4.17%,GABA_like_neurons 14
AC020611.2,0 out of 24,0.00%,
AC020928.1,1 out of 24,4.17%,GABA_neurons_expressing_GLU_receptors 22
AC021231.1,1 out of 24,4.17%,Oligodendrocytes 16
AC021439.1,0 out of 24,0.00%,
AC021739.2,0 out of 24,0.00%,
AC021752.1,0 out of 24,0.00%,
AC022075.1,1 out of 24,4.17%,Oligodendrocyte_progenitor_cells 7
AC022098.1,0 out of 24,0.00%,
AC022414.1,0 out of 24,0.00%,
AC022509.2,0 out of 24,0.00%,
AC022523.1,0 out of 24,0.00%,
AC022639.1,2 out of 24,8.33%,DA_like_neurons 11; GABA_neurons_expressing_GLU_receptors 22
AC022893.1,0 out of 24,0.00%,
AC023051.1,0 out of 24,0.00%,
AC023389.1,1 out of 24,4.17%,DA_like_neurons 11
AC023421.2,3 out of 24,12.50%,Astrocytes 4; Astrocytes 5; Astrocytes 15
AC023590.1,2 out of 24,8.33%,Oligodendrocytes 20; Oligodendrocytes 3
AC024084.1,1 out of 24,4.17%,Microglia 1
AC024145.1,0 out of 24,0.00%,
AC024230.1,0 out of 24,0.00%,
AC024257.1,0 out of 24,0.00%,
AC024901.1,1 out of 24,4.17%,DA_like_neurons 11
AC025159.1,4 out of 24,16.67%,DA_like_neurons 11; Oligodendrocytes 10; Astrocytes 5; Oligodendrocytes 3
AC025164.1,1 out of 24,4.17%,Astrocytes_microglia 23
AC025283.3,4 out of 24,16.67%,Oligodendrocytes 20; Astrocytes_microglia 23; Oligodendrocytes 16; Astrocytes 15
AC025569.1,0 out of 24,0.00%,
AC025682.1,2 out of 24,8.33%,Oligodendrocytes 20; Connective_tissue_cells 21
AC025809.1,0 out of 24,0.00%,
AC025810.1,3 out of 24,12.50%,Oligodendrocytes 10; Oligodendrocytes 2; Oligodendrocytes 0
AC025887.2,0 out of 24,0.00%,
AC026202.2,1 out of 24,4.17%,Astrocytes_microglia 23
AC026316.5,6 out of 24,25.00%,Astrocytes 8; Oligodendrocytes 3; GABA_neurons_expressing_GLU_receptors 22; GLU_like_neurons 17; Astrocytes 15; DA_like_neurons 11
AC026458.2,0 out of 24,0.00%,
AC027018.1,0 out of 24,0.00%,
AC027031.2,1 out of 24,4.17%,Astrocytes_microglia 23
AC027097.2,2 out of 24,8.33%,Microglia 19; Connective_tissue_cells 21
AC027117.2,3 out of 24,12.50%,Oligodendrocytes 20; Oligodendrocytes 3; Connective_tissue_cells 21
AC027288.3,2 out of 24,8.33%,DA_like_neurons 11; Connective_tissue_cells 21
AC027644.4,6 out of 24,25.00%,GABA_like_neurons 14; Oligodendrocytes 20; Astrocytes 5; Oligodendrocytes 3; Oligodendrocytes 2; GLU_like_neurons 17
AC027808.1,1 out of 24,4.17%,Oligodendrocytes 20
AC034195.1,0 out of 24,0.00%,
AC036108.1,0 out of 24,0.00%,
AC036214.1,0 out of 24,0.00%,
AC037459.2,2 out of 24,8.33%,Astrocytes_microglia 23; Astrocytes 15
AC040934.1,1 out of 24,4.17%,Astrocytes_microglia 23
AC044781.1,1 out of 24,4.17%,Microglia 1
AC046195.1,0 out of 24,0.00%,
AC048341.1,1 out of 24,4.17%,Astrocytes_microglia 23
AC048382.5,0 out of 24,0.00%,
AC053527.1,5 out of 24,20.83%,GABA_like_neurons 14; Astrocytes 8; Astrocytes 4; Oligodendrocytes 3; Astrocytes 15
AC058791.1,0 out of 24,0.00%,
AC058822.1,3 out of 24,12.50%,Astrocytes_microglia 23; GABA_neurons_expressing_GLU_receptors 22; T_cells 18
AC062021.1,0 out of 24,0.00%,
AC063944.1,1 out of 24,4.17%,Oligodendrocytes 3
AC064807.1,0 out of 24,0.00%,
AC066613.2,3 out of 24,12.50%,Oligodendrocytes 20; Microglia 1; Oligodendrocytes 3
AC068051.1,0 out of 24,0.00%,
AC068205.1,0 out of 24,0.00%,
AC068533.4,0 out of 24,0.00%,
AC068643.1,0 out of 24,0.00%,
AC068675.1,0 out of 24,0.00%,
AC068724.3,0 out of 24,0.00%,
AC068875.1,1 out of 24,4.17%,GABA_neurons_expressing_GLU_receptors 22
AC068888.1,0 out of 24,0.00%,
AC069120.1,0 out of 24,0.00%,
AC069228.1,5 out of 24,20.83%,Oligodendrocytes 20; Oligodendrocytes 16; GABA_neurons_expressing_GLU_receptors 22; Oligodendrocytes 3; DA_like_neurons 11
AC069368.1,4 out of 24,16.67%,Astrocytes 8; Astrocytes 4; Astrocytes 5; Astrocytes 15
AC069437.1,0 out of 24,0.00%,
AC073050.1,3 out of 24,12.50%,DA_like_neurons 11; GLU_like_neurons 17; Oligodendrocyte_progenitor_cells 7
AC073082.1,0 out of 24,0.00%,
AC073332.1,0 out of 24,0.00%,
AC073342.1,0 out of 24,0.00%,
AC073343.2,0 out of 24,0.00%,
AC073389.2,0 out of 24,0.00%,
AC073529.1,0 out of 24,0.00%,
AC073569.2,1 out of 24,4.17%,Astrocytes 15
AC073571.1,0 out of 24,0.00%,
AC073610.3,0 out of 24,0.00%,
AC073941.1,1 out of 24,4.17%,Astrocytes 8
AC074032.1,5 out of 24,20.83%,Oligodendrocytes 20; Astrocytes 4; Oligodendrocytes 16; GABA_neurons_expressing_GLU_receptors 22; Connective_tissue_cells 21
AC074117.1,1 out of 24,4.17%,GABA_neurons_expressing_GLU_receptors 22
AC074286.1,0 out of 24,0.00%,
AC074327.1,1 out of 24,4.17%,Microglia 19
AC078785.1,0 out of 24,0.00%,
AC078845.1,1 out of 24,4.17%,Microglia 1
AC078881.1,3 out of 24,12.50%,Oligodendrocytes 20; Oligodendrocytes 10; Oligodendrocytes 3
AC078923.1,0 out of 24,0.00%,
AC079015.1,2 out of 24,8.33%,Microglia 1; Microglia 19
AC079296.1,0 out of 24,0.00%,
AC079298.3,0 out of 24,0.00%,
AC079385.1,3 out of 24,12.50%,Astrocytes 8; Astrocytes 5; Astrocytes 15
AC079447.1,3 out of 24,12.50%,Oligodendrocytes 20; GABA_like_neurons 14; Astrocytes 15
AC079594.2,0 out of 24,0.00%,
AC079760.1,0 out of 24,0.00%,
AC083798.2,4 out of 24,16.67%,Oligodendrocytes 20; Astrocytes 5; Astrocytes 15; Connective_tissue_cells 21
AC084032.1,3 out of 24,12.50%,Oligodendrocytes 20; Oligodendrocytes 16; Oligodendrocytes 3
AC084337.2,5 out of 24,20.83%,Oligodendrocytes 20; Astrocytes 4; Oligodendrocytes 3; Oligodendrocyte_progenitor_cells 7; Oligodendrocytes 0
AC087280.2,0 out of 24,0.00%,
AC087286.2,1 out of 24,4.17%,Astrocytes_microglia 23
AC087386.1,1 out of 24,4.17%,GLU_like_neurons 17
AC087457.1,0 out of 24,0.00%,
AC087463.1,0 out of 24,0.00%,
AC087463.4,0 out of 24,0.00%,
AC087477.2,1 out of 24,4.17%,Connective_tissue_cells 21
AC087482.1,3 out of 24,12.50%,Astrocytes_microglia 23; Astrocytes 4; Astrocytes 5
AC087500.1,5 out of 24,20.83%,GABA_like_neurons 14; Astrocytes 5; GABA_neurons_expressing_GLU_receptors 22; GLU_like_neurons 17; Connective_tissue_cells 21
AC087564.1,3 out of 24,12.50%,Astrocytes 8; Oligodendrocytes 20; Oligodendrocytes 10
AC087741.1,0 out of 24,0.00%,
AC090115.1,0 out of 24,0.00%,
AC090138.1,0 out of 24,0.00%,
AC090204.1,1 out of 24,4.17%,Astrocytes_microglia 23
AC090502.1,5 out of 24,20.83%,Oligodendrocytes 20; Oligodendrocytes 10; Oligodendrocytes 3; Oligodendrocytes 2; Oligodendrocytes 0
AC090517.4,6 out of 24,25.00%,Oligodendrocytes 20; Oligodendrocytes 10; Oligodendrocytes 3; GABA_neurons_expressing_GLU_receptors 22; Oligodendrocytes 2; Oligodendrocyte_progenitor_cells 7
AC090518.1,0 out of 24,0.00%,
AC090559.1,0 out of 24,0.00%,
AC090568.2,3 out of 24,12.50%,DA_like_neurons 11; GABA_neurons_expressing_GLU_receptors 22; Oligodendrocyte_progenitor_cells 7
AC090579.1,1 out of 24,4.17%,Microglia 1
AC090630.1,1 out of 24,4.17%,Microglia 1
AC090709.1,1 out of 24,4.17%,DA_like_neurons 11
AC090825.1,3 out of 24,12.50%,Oligodendrocyte_progenitor_cells 12; Astrocytes 15; Oligodendrocyte_progenitor_cells 7
AC090844.2,1 out of 24,4.17%,Astrocytes_microglia 23
AC090907.2,1 out of 24,4.17%,GABA_like_neurons 14
AC091078.1,2 out of 24,8.33%,Astrocytes 8; Astrocytes 15
